,freq,siec,plant_tec,unit,geo,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
19,A,R5100,CAP_NET_ELC,MW,IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.83,5.35,5.35,5.35,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,6.65,6.707,6.707,6.707
20,A,R5100,CAP_NET_ELC,MW,IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,A,R5100,CAP_NET_ELC,MW,IT,4.0,4.0,9.0,9.0,76.0,68.0,96.0,90.0,154.0,198.0,218.0,221.0,290.0,383.0,380.0,358.0,359.0,362.0,415.0,438.0,406.0,421.0,538.0,606.0,620.0,616.0,685.0,684.108,733.213,,,702.464,701.179
22,A,R5100,CAP_NET_ELC,MW,LI,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,A,R5100,CAP_NET_ELC,MW,LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,12.0,16.0,16.0,16.0,16.0,18.0,38.0,43.0,46.0,45.0,39.0,45.0,62.0,63.0,63.0,58.0,62.0
24,A,R5100,CAP_NET_ELC,MW,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,3.75,3.915,3.915,14.815,15.145,35.145,35.145,35.145,36.35
25,A,R5100,CAP_NET_ELC,MW,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,23.0,55.0,63.0,66.0,81.0,93.736,72.609,96.947,96.067,94.72,90.367
26,A,R5100,CAP_NET_ELC,MW,MD,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,A,R5100,CAP_NET_ELC,MW,ME,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,A,R5100,CAP_NET_ELC,MW,MK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,A,R5100,CAP_NET_ELC,MW,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,A,R5100,CAP_NET_ELC,MW,NL,5.0,5.0,5.0,5.0,5.0,5.595,4.396,4.681,4.777,33.246,34.461,36.041,36.134,35.887,36.942,39.68,39.995,94.172,154.923,156.141,157.938,132.578,172.174,214.666,190.19,210.225,209.725,226.415,231.045,228.44,270.57,284.191,284.191
31,A,R5100,CAP_NET_ELC,MW,NO,41.0,42.0,42.0,42.0,42.0,97.0,102.0,102.0,100.0,30.0,35.0,35.0,101.0,107.0,95.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,27.0,27.0,27.0,27.0,20.0,27.0,27.0
