,freq,unit,sex,age,geo,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,A,NR,F,TOTAL,CY,,291583.0,291900.0,293900.0,297300.0,298200.0,301100.0,303100.0,305900.0,307900.0,310000.0,312900.0,317100.0,319212.0,322300.0,254900.0,249168.0,248900.0,251200.0,253100.0,254900.0,258200.0,262907.0,263719.0,267102.0,270429.0,273296.0,276369.0,279097.0,282124.0,287064.0,294656.0,302814.0,310701.0,318440.0,325432.0,331524.0,337118.0,342190.0,346537.0,350842.0,354797.0,359361.0,363583.0,368331.0,373746.0,379431.0,386402.0,395875.0,407004.0,419535.0,430993.0,443018.0,444842.0,440462.0,435183.0,435627.0,438139.0,442728.0,448068.0,453534.0,458357.0,463622.0,471475.0
11,A,NR,F,TOTAL,CZ,4941152.0,4928244.0,4948987.0,4966815.0,4995380.0,5023767.0,5046795.0,5066048.0,5079721.0,5090506.0,5101807.0,5059168.0,5077341.0,5101215.0,5131518.0,5166285.0,5201299.0,5233740.0,5262227.0,5288558.0,5310984.0,5303918.0,5310895.0,5316340.0,5317388.0,5319646.0,5321474.0,5321505.0,5323143.0,5326892.0,5326444.0,5303641.0,5306546.0,5312284.0,5314716.0,5312697.0,5304829.0,5297052.0,5290395.0,5284186.0,5277036.0,5249667.0,5235670.0,5230950.0,5228205.0,5228199.0,5233925.0,5243638.0,5278305.0,5309105.0,5325922.0,5339500.0,5347235.0,5351776.0,5350039.0,5361348.0,5367513.0,5378133.0,5390264.0,5405606.0,5421943.0,5323934.0,5332932.0,5519006.0
12,A,NR,F,TOTAL,DE,29345361.0,29630616.0,29951354.0,30219000.0,30512921.0,30822719.0,31125574.0,31393339.0,31529981.0,31746795.0,32014629.0,31929543.0,32135076.0,32276124.0,32387627.0,32387025.0,32263124.0,32179200.0,32136229.0,32107392.0,32122268.0,32176912.0,32189833.0,32118246.0,32000881.0,31869535.0,31830458.0,31855080.0,31818689.0,32021988.0,32442597.0,41253250.0,41435461.0,41674551.0,41819609.0,41893638.0,41992676.0,42057327.0,42065068.0,42032869.0,42072699.0,42103004.0,42165633.0,42191801.0,42175657.0,42147222.0,42098034.0,42013740.0,41943545.0,41818073.0,41698651.0,41097465.0,41097953.0,41142770.0,41210540.0,41362080.0,41661561.0,41824535.0,41948786.0,42052522.0,42129098.0,42128512.0,42170339.0,42799793.0
13,A,NR,F,TOTAL,DE_TOT,38856574.0,39013830.0,39326303.0,39610931.0,39909522.0,40078216.0,40385630.0,40656464.0,40789960.0,40990528.0,41237560.0,41132596.0,41315802.0,41420888.0,41487542.0,41442967.0,41265958.0,41140341.0,41077045.0,41027862.0,41023108.0,41059485.0,41046356.0,40958488.0,40825410.0,40661086.0,40592848.0,40591343.0,40544815.0,40723818.0,41003093.0,41253250.0,41435461.0,41674551.0,41819609.0,41893638.0,41992676.0,42057327.0,42065068.0,42032869.0,42072699.0,42103004.0,42165633.0,42191801.0,42175657.0,42147222.0,42098034.0,42013740.0,41943545.0,41818073.0,41698651.0,41097465.0,41097953.0,41142770.0,41210540.0,41362080.0,41661561.0,41824535.0,41948786.0,42052522.0,42129098.0,42128512.0,42170339.0,42799793.0
14,A,NR,F,TOTAL,DK,2300897.0,2315982.0,2333676.0,2352150.0,2371255.0,2390631.0,2409799.0,2430202.0,2448014.0,2460720.0,2474425.0,2490784.0,2505460.0,2522727.0,2538020.0,2550193.0,2558469.0,2567052.0,2577115.0,2585949.0,2593012.0,2595764.0,2595330.0,2595244.0,2594188.0,2594036.0,2595710.0,2598774.0,2601258.0,2601613.0,2604812.0,2610078.0,2617672.0,2626020.0,2633200.0,2642394.0,2658805.0,2670184.0,2679191.0,2688156.0,2695898.0,2704893.0,2714208.0,2721084.0,2727505.0,2734113.0,2741613.0,2750422.0,2763125.0,2779431.0,2791452.0,2804046.0,2813740.0,2823776.0,2834956.0,2848701.0,2869364.0,2888591.0,2904717.0,2917008.0,2925845.0,2935188.0,2950505.0,2983655.0
15,A,NR,F,TOTAL,EA19,,,,,,,,,,,,,,,,,,152866008.0,153484742.0,154099191.0,154699758.0,155356457.0,155854410.0,,156488757.0,156728828.0,156998287.0,157369277.0,157672162.0,158229388.0,158867465.0,159521355.0,160129163.0,160785071.0,161274466.0,161656202.0,162041857.0,162419061.0,163600717.0,163908752.0,164409363.0,164950685.0,165597974.0,166443897.0,167294753.0,168177465.0,168925116.0,169654507.0,170579892.0,171269855.0,171702051.0,171597071.0,171952374.0,172301610.0,173114205.0,173478676.0,173889081.0,174241357.0,174560597.0,174651001.0,175074173.0,175100716.0,175096870.0,176592128.0
16,A,NR,F,TOTAL,EA20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177096882.0,178581156.0
17,A,NR,F,TOTAL,EE,674328.0,677929.0,685707.0,692418.0,700330.0,708120.0,714321.0,718459.0,722117.0,727568.0,733185.0,741791.0,749613.0,756198.0,761913.0,767451.0,772075.0,776846.0,782521.0,787202.0,790617.0,795741.0,800677.0,805761.0,810533.0,815398.0,820097.0,825726.0,830954.0,834270.0,836061.0,834200.0,828123.0,807998.0,790952.0,776811.0,765837.0,756506.0,750075.0,742978.0,748170.0,743650.0,739210.0,735200.0,730800.0,727140.0,722770.0,718660.0,716390.0,714420.0,712490.0,709960.0,707079.0,704007.0,700900.0,700166.0,699236.0,698097.0,698049.0,699185.0,699699.0,699153.0,698381.0,718518.0
18,A,NR,F,TOTAL,EEA30_2007,,,,,,,,,,,,,,,,,,,,,237198654.0,,,,,240624955.0,,,,,243869611.0,244669187.0,245308416.0,246092898.0,246736910.0,247269932.0,247729912.0,248152754.0,249384481.0,249762306.0,250178893.0,250779121.0,251087710.0,251946995.0,252859079.0,253851746.0,254750609.0,255653398.0,256621458.0,257524901.0,258049725.0,258194604.0,258746076.0,259270058.0,260249425.0,260865151.0,261489904.0,262061005.0,262583496.0,262851801.0,,,,
19,A,NR,F,TOTAL,EEA31,,,,,,,,,,,,,,,,,,,,,,,,,,243044878.0,,,,,246329589.0,247133818.0,247687840.0,248459257.0,249149696.0,249689854.0,250109461.0,250507297.0,251740990.0,252113956.0,252513550.0,253010430.0,253324177.0,254183994.0,255095963.0,256090326.0,256989163.0,257890747.0,258856437.0,259757930.0,260277921.0,260415709.0,260959751.0,261475715.0,262446486.0,263051240.0,263657776.0,264210008.0,264707190.0,264955475.0,,,,
