,freq,siec,plant_tec,operator,unit,geo,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
17,A,CF,CAP_NET_ELC,PRR_AUTO,MW,HU,211.0,213.0,215.0,361.0,209.0,187.0,186.0,182.0,206.0,216.0,198.0,196.0,196.0,185.0,189.0,135.0,135.0,135.0,119.0,123.0,148.0,167.0,101.0,156.0,172.0,206.0,222.0,253.0,251.0,286.0,274.0,281.0,394.0
18,A,CF,CAP_NET_ELC,PRR_AUTO,MW,IE,69.0,70.0,74.0,88.0,91.0,93.0,93.0,102.0,104.0,96.0,128.0,128.0,131.0,136.0,142.0,145.0,262.0,288.562,291.38,301.067,307.983,326.887,331.348,335.803,340.917,343.247,344.921,349.825,356.315,363.774,367.07,370.875,371.27
19,A,CF,CAP_NET_ELC,PRR_AUTO,MW,IT,5687.0,5692.0,5981.0,6643.0,6740.0,6911.0,7921.0,8769.0,9923.0,10509.0,0.0,0.0,0.0,0.0,4566.0,4523.0,4529.0,4383.0,5253.0,5810.0,5861.0,5476.0,3941.0,4069.0,3853.0,5042.0,4658.0,4862.71,5347.074,5255.647,4990.759,9730.694,9984.336
20,A,CF,CAP_NET_ELC,PRR_AUTO,MW,LI,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,A,CF,CAP_NET_ELC,PRR_AUTO,MW,LT,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,41.0,41.0,41.0,39.0,37.0,36.0,191.0,188.0,195.0,198.0,249.0,247.0,245.0,248.0,249.0,253.0,255.0,255.0,257.0,257.0,256.0,256.0
22,A,CF,CAP_NET_ELC,PRR_AUTO,MW,LU,100.0,100.0,100.0,100.0,100.0,111.0,125.0,125.0,50.0,63.0,23.0,26.523,37.746,45.389,48.371,48.961,51.361,52.188,56.324,59.503,61.182,57.621,58.942,58.543,59.013,61.956,76.546,55.288,52.091,53.301,43.458,44.264,58.153
23,A,CF,CAP_NET_ELC,PRR_AUTO,MW,LV,83.0,81.0,18.0,15.0,11.0,40.0,49.0,55.0,41.0,44.0,31.0,23.0,27.0,27.0,27.0,28.0,27.0,13.0,16.0,16.0,16.0,21.0,39.0,50.0,41.0,41.0,41.34,31.097,30.371,29.026,31.626,28.818,27.618
24,A,CF,CAP_NET_ELC,PRR_AUTO,MW,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
25,A,CF,CAP_NET_ELC,PRR_AUTO,MW,MK,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,A,CF,CAP_NET_ELC,PRR_AUTO,MW,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.56,4.56,4.56,4.56,4.56,4.56,2.823
27,A,CF,CAP_NET_ELC,PRR_AUTO,MW,NL,2241.0,2476.0,2481.0,2620.0,2516.0,2500.0,2093.0,2148.0,2749.0,2750.0,2754.0,2381.0,2431.0,2505.0,2959.0,2728.0,3455.0,4239.0,4574.0,4747.0,4750.0,5361.0,5315.0,5130.0,5194.0,5166.919,5453.365,5969.145,6007.398,6018.579,6504.127,6625.546,6732.819
28,A,CF,CAP_NET_ELC,PRR_AUTO,MW,NO,,,,,,,,,,,,,,,,,,,,729.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,539.0,552.0,552.0,557.0,449.674,449.674
29,A,CF,CAP_NET_ELC,PRR_AUTO,MW,PL,2359.0,2321.0,2376.0,2362.0,2245.0,2235.0,2134.0,2076.0,1996.0,1977.0,1887.0,1930.0,1892.0,2069.0,2035.0,2015.0,1998.0,1910.0,1620.0,1654.0,1793.0,1727.0,1765.0,1801.0,1818.0,2027.0,1888.0,2482.829,3094.092,3112.289,3076.823,3116.037,3311.189
30,A,CF,CAP_NET_ELC,PRR_AUTO,MW,PT,518.0,552.0,634.0,637.0,643.0,678.0,720.0,764.0,793.0,962.0,1111.0,1103.0,1210.0,1217.0,1277.0,1306.0,1315.0,1439.0,1497.0,1679.0,1820.0,1885.0,2003.0,1899.0,1908.0,1843.0,1781.0,1769.147,1872.007,1879.35,1884.156,1888.567,1661.476
31,A,CF,CAP_NET_ELC,PRR_AUTO,MW,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,859.0,775.0,707.0,731.0,676.0,668.0,1520.0,2329.0,2342.0,2338.0,2151.0,2158.895,2149.873,1695.674,1816.659,1853.798,1608.824
32,A,CF,CAP_NET_ELC,PRR_AUTO,MW,RS,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,5.0,5.0,10.0,113.711,118.411,141.73,144.502,149.674,152.425
33,A,CF,CAP_NET_ELC,PRR_AUTO,MW,SE,839.0,839.0,1059.0,1042.0,900.0,760.0,841.0,1008.0,870.0,941.0,954.0,954.0,1040.0,979.0,984.0,984.0,1098.0,1197.0,1308.0,1236.0,1117.0,1399.0,1238.0,1194.0,0.0,0.0,0.0,1267.0,1430.0,1393.0,1386.0,1460.0,1534.0
34,A,CF,CAP_NET_ELC,PRR_AUTO,MW,SI,0.0,0.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,96.0,99.0,81.0,80.0,78.0,78.0,76.0,62.0,61.0,68.0,57.0,57.0,40.0,42.0,50.0,47.0,46.0,46.279,47.172,44.259,45.938,47.06,44.234
35,A,CF,CAP_NET_ELC,PRR_AUTO,MW,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.0,565.0,585.0,562.0,525.0,580.0,585.0,588.0,578.0,551.0,562.0,583.0,585.0,657.0,635.0,604.0,633.0,769.0,766.0,751.0,741.0,734.0
36,A,CF,CAP_NET_ELC,PRR_AUTO,MW,TR,,,,,,,,,,,,,,,,,,,,,,2481.0,2739.0,2919.0,3683.0,3811.0,4223.0,4416.859,4449.982,5221.659,5283.549,5362.568,5449.647
37,A,CF,CAP_NET_ELC,PRR_MAIN,MW,AL,,,,,,,,,,,,,,,,,,,,,,0.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
38,A,CF,CAP_NET_ELC,PRR_MAIN,MW,AT,4743.0,4750.0,5133.0,5061.0,5079.0,5028.0,5031.0,5199.0,4917.0,5089.0,5062.0,5194.0,5049.0,5095.0,5321.0,5243.0,5280.0,5008.0,5874.0,5712.0,5582.0,6339.0,6347.0,6326.0,6136.0,5964.0,5561.0,5271.568,5244.463,4593.224,4608.505,4510.148,4361.237
39,A,CF,CAP_NET_ELC,PRR_MAIN,MW,BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2067.74
40,A,CF,CAP_NET_ELC,PRR_MAIN,MW,BE,6490.0,6445.0,6394.0,6433.0,7298.0,7211.0,7126.0,6945.0,7650.0,7746.0,8105.0,7934.0,7930.0,7960.0,7964.0,8223.0,8313.0,8293.0,8165.0,8391.0,8397.0,9128.0,8182.0,7559.0,7202.0,7199.0,7167.9,7019.3,6667.4,6462.6,6403.8,6282.0,6278.1
41,A,CF,CAP_NET_ELC,PRR_MAIN,MW,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4977.0,5172.0,5128.0,7043.0,6419.0,6419.0,6419.0,6419.0,6205.0,4710.0,4466.0,4325.0,4522.0,4495.0,4849.0,4636.0,4410.0,3854.0,3635.0,3550.967,3985.986,3936.461,3650.998,3682.936,3811.657
42,A,CF,CAP_NET_ELC,PRR_MAIN,MW,CY,0.0,0.0,0.0,0.0,0.0,690.0,690.0,690.0,690.0,728.0,988.0,988.0,988.0,988.0,988.0,1118.0,1118.0,1118.0,1168.0,1389.0,1439.0,1555.0,1525.0,1481.0,1481.0,1481.0,1481.0,1480.19,1480.51,1480.51,1480.51,1480.436,1480.436
43,A,CF,CAP_NET_ELC,PRR_MAIN,MW,CZ,10229.0,9898.0,9464.0,9357.0,9086.0,9143.0,9374.0,9471.0,9181.0,9142.0,9187.0,9221.0,9266.0,9373.0,9416.0,9321.0,9330.0,9318.0,9450.0,9626.0,10346.0,10244.0,10273.0,10498.0,11342.0,11275.0,11385.0,11582.3,11605.078,11290.027,10747.947,10269.351,10193.619
44,A,CF,CAP_NET_ELC,PRR_MAIN,MW,DE,55632.0,70667.0,68737.0,67918.0,67572.0,68658.0,68841.0,69290.0,68508.0,68520.0,70792.0,69047.0,71072.0,66988.0,69939.0,68377.0,68717.0,70327.0,72299.0,73791.0,76351.0,80050.0,82912.0,82072.0,87747.0,86552.0,85409.0,83824.0,91301.0,89570.0,87357.0,88178.0,89170.0
45,A,CF,CAP_NET_ELC,PRR_MAIN,MW,DK,8624.0,9024.0,9407.0,9674.0,9547.0,9914.0,9629.0,9909.0,9953.0,9591.0,9375.0,9431.0,9166.0,9180.0,9215.0,9258.0,9204.0,9228.0,9171.0,9250.0,8984.0,8977.0,8870.0,7836.0,7506.0,7520.704,7501.226,7285.763,7222.54,7201.832,7006.14,6909.611,6881.817
46,A,CF,CAP_NET_ELC,PRR_MAIN,MW,EA20,170874.0,186905.0,190149.0,191561.0,193369.55,201712.35,205976.35,209115.55,208900.55,216456.55,233380.412,233188.633,239872.633,237980.583,245185.492,253775.118,261229.646,269277.034,274737.028,280458.177,292128.056,299989.783,304948.53,299452.652,298759.044,290362.258,281731.051,272176.462,277326.835,272996.838,264259.228,255300.891,255999.204
47,A,CF,CAP_NET_ELC,PRR_MAIN,MW,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2834.0,2771.0,2415.0,2377.0,2379.0,2650.0,2492.0,2495.0,2544.0,2584.0,2537.0,2616.0,2621.0,2630.0,2637.0,2733.0,2526.0,2226.0,2183.0,2445.0,2280.0,2182.0,1670.0,1668.0
